SongID,Performer.x,Song.x,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,url,WeekID,Week.Position,Song.y,Performer.y,Instance,Previous.Week.Position,Peak.Position,Weeks.on.Chart,genrez,date2,year,month,rock_genrez,weeks_chart,position_peak,year2,weeks_chart2,position_peak2,performer,song
"Baby, I Love Your WayPeter Frampton",Peter Frampton,"Baby, I Love Your Way","['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'symphonic rock']",1ksayCHVLH4eKFm43GFokU,NA,Frampton Comes Alive! (Deluxe Edition),FALSE,281066,62,0.48,0.781,7,-5.687,1,0.0305,0.445,4.1e-5,0.807,0.495,142.873,4,http://www.billboard.com/charts/hot-100/1976-07-31,7/31/1976,21,"Baby, I Love Your Way",Peter Frampton,1,28,21,6,rock,1976-07-31,1976,7,blues,6,21,1976,6,21,Peter Frampton,"Baby, I Love Your Way"
Rag DollAerosmith,Aerosmith,Rag Doll,"['album rock', 'classic rock', 'hard rock', 'rock']",2KCJYwlBWxdlwyIYckIf6V,NA,Permanent Vacation,FALSE,265693,60,0.58,0.948,4,-3.892,1,0.0616,0.563,0,0.195,0.6,93.45,4,http://www.billboard.com/charts/hot-100/1988-09-10,9/10/1988,55,Rag Doll,Aerosmith,1,43,17,15,rock,1988-09-10,1988,9,hard,15,17,1988,15,17,Aerosmith,Rag Doll
When The Morning ComesHoyt Axton,Hoyt Axton,When The Morning Comes,"['cosmic american', 'country rock', 'oklahoma country']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.billboard.com/charts/hot-100/1974-07-06,7/6/1974,54,When The Morning Comes,Hoyt Axton,1,54,54,6,rock,1974-07-06,1974,7,country rock,6,54,1974,6,54,Hoyt Axton,When The Morning Comes
Your Mama Don't DancePoison,Poison,Your Mama Don't Dance,"['album rock', 'glam metal', 'hard rock', 'rock']",0FO5CkdIFiKOJNETXTyCMS,NA,Open Up And Say...Ahh! (20th Anniversary Edition),FALSE,180493,50,0.534,0.931,1,-3.606,1,0.0613,0.0185,0,0.193,0.832,150.359,4,http://www.billboard.com/charts/hot-100/1989-04-15,4/15/1989,10,Your Mama Don't Dance,Poison,1,13,10,9,rock,1989-04-15,1989,4,metal,9,10,1989,9,10,Poison,Your Mama Don't Dance
Let's Get RockedDef Leppard,Def Leppard,Let's Get Rocked,"['album rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']",0LoH6lFQLNscy3RyljAewK,NA,Adrenalize (Deluxe),FALSE,295957,55,0.564,0.888,5,-6.763,1,0.0325,0.0109,6.68e-5,0.177,0.526,91.989,4,http://www.billboard.com/charts/hot-100/1992-04-18,4/18/1992,27,Let's Get Rocked,Def Leppard,1,27,27,2,rock,1992-04-18,1992,4,metal,2,27,1992,2,27,Def Leppard,Let's Get Rocked
Figured You OutNickelback,Nickelback,Figured You Out,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",1Yuim9eHBfG8YUJII28XDF,https://p.scdn.co/mp3-preview/3bb0ce34b04628d45fa7ef19be09c098d09699f3?cid=b8d3901151d34489a160e3cf0ab1fa94,The Long Road,FALSE,228480,59,0.544,0.867,10,-5.527,1,0.0517,2.63e-5,0.0165,0.266,0.726,93.925,4,http://www.billboard.com/charts/hot-100/2004-03-27,3/27/2004,69,Figured You Out,Nickelback,1,65,65,8,rock,2004-03-27,2004,3,metal,8,65,2004,8,65,Nickelback,Figured You Out
If Heaven Wasn't So Far AwayJustin Moore,Justin Moore,If Heaven Wasn't So Far Away,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",0aW7CSfoMBKBzLE7VerHyn,NA,Outlaws Like Me,FALSE,223280,59,0.374,0.657,11,-6.086,1,0.0325,0.0434,0,0.219,0.376,74.234,4,http://www.billboard.com/charts/hot-100/2011-04-23,4/23/2011,69,If Heaven Wasn't So Far Away,Justin Moore,1,62,62,3,rock,2011-04-23,2011,4,country rock,3,62,2011,3,62,Justin Moore,If Heaven Wasn't So Far Away
TornadoLittle Big Town,Little Big Town,Tornado,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",3HvNzmI0hX2dXcE41lBMxi,NA,Tornado,FALSE,223573,50,0.739,0.696,3,-5.149,0,0.0247,0.0459,9.61e-5,0.107,0.492,97.004,4,http://www.billboard.com/charts/hot-100/2012-12-08,12/8/2012,83,Tornado,Little Big Town,1,88,83,3,rock,2012-12-08,2012,12,country rock,3,83,2012,3,83,Little Big Town,Tornado
Staring At The SunU2,U2,Staring At The Sun,"['irish rock', 'permanent wave', 'rock']",3fsTb3a8l5kJrtzpl04Ljr,NA,Pop,FALSE,276800,56,0.533,0.702,9,-8.504,0,0.0265,0.0549,0.0221,0.27,0.515,140.201,4,http://www.billboard.com/charts/hot-100/1997-07-05,7/5/1997,61,Staring At The Sun,U2,1,56,26,11,rock,1997-07-05,1997,7,permanent wave,11,26,1997,11,26,U2,Staring At The Sun
Baby GirlSugarland,Sugarland,Baby Girl,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",6qQIH999KekS3qFWqR5qMO,NA,Baby Girl,FALSE,239693,51,0.436,0.736,1,-3.201,1,0.0333,0.215,0,0.0488,0.583,166.819,4,http://www.billboard.com/charts/hot-100/2005-01-29,1/29/2005,69,Baby Girl,Sugarland,1,81,69,8,rock,2005-01-29,2005,1,country rock,8,69,2005,8,69,Sugarland,Baby Girl
Headed For A HeartbreakWinger,Winger,Headed For A Heartbreak,"['album rock', 'glam metal', 'hard rock', 'rock', 'sleaze rock']",2XbxWdh1e6Tyku9pbaXlFI,https://p.scdn.co/mp3-preview/01276d4c919853421c6b21194239036ba5e40c3a?cid=b8d3901151d34489a160e3cf0ab1fa94,Winger,FALSE,312600,48,0.462,0.507,2,-13.849,0,0.0308,0.022,6.34e-4,0.253,0.386,134.253,4,http://www.billboard.com/charts/hot-100/1989-06-10,6/10/1989,78,Headed For A Heartbreak,Winger,1,94,78,2,rock,1989-06-10,1989,6,metal,2,78,1989,2,78,Winger,Headed For A Heartbreak
(Ghost) Riders In The SkyRamrods,Ramrods,(Ghost) Riders In The Sky,['classic garage rock'],5eUVr9Ja4GK6e1lcIXjML7,https://p.scdn.co/mp3-preview/19307e9a712d0793f222261d891c1b741888124e?cid=b8d3901151d34489a160e3cf0ab1fa94,Ghost Riders in the Sky,FALSE,156933,24,0.442,0.717,9,-9.943,0,0.0395,0.518,0.262,0.184,0.376,120.914,4,http://www.billboard.com/charts/hot-100/1961-01-21,1/21/1961,81,(Ghost) Riders In The Sky,Ramrods,1,84,81,3,rock,1961-01-21,1961,1,classic,3,81,1961,3,81,Ramrods,(Ghost) Riders In The Sky
BlurryPuddle Of Mudd,Puddle Of Mudd,Blurry,"['alternative metal', 'alternative rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']",6lSr3iZTC144PKhvbPFzMp,NA,Come Clean,FALSE,304000,67,0.44,0.929,3,-4.494,0,0.0525,0.01,0,0.142,0.495,157.49,4,http://www.billboard.com/charts/hot-100/2002-08-03,8/3/2002,31,Blurry,Puddle Of Mudd,1,27,5,33,rock,2002-08-03,2002,8,metal,33,5,2002,33,5,Puddle Of Mudd,Blurry
Two Out Of Three Ain't BadMeat Loaf,Meat Loaf,Two Out Of Three Ain't Bad,"['album rock', 'mellow gold', 'rock', 'soft rock']",2ph0hzV1kCVhR82E2La4q5,https://p.scdn.co/mp3-preview/8d36180f2f4973ff577795f4efc98353fee67e71?cid=b8d3901151d34489a160e3cf0ab1fa94,Bat Out Of Hell,FALSE,324440,61,0.586,0.48,9,-9.138,1,0.0243,0.385,0,0.0947,0.488,79.873,4,http://www.billboard.com/charts/hot-100/1978-07-29,7/29/1978,47,Two Out Of Three Ain't Bad,Meat Loaf,1,28,11,20,rock,1978-07-29,1978,7,soft rock,20,11,1978,20,11,Meat Loaf,Two Out Of Three Ain't Bad
Innocent EyesGraham Nash,Graham Nash,Innocent Eyes,"['british folk', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",5yEjgqVZ3Yy2neTvxt2xbR,https://p.scdn.co/mp3-preview/5e6261fafb83917d3774afc67cf0971c1bdc4b1f?cid=b8d3901151d34489a160e3cf0ab1fa94,Innocent Eyes,FALSE,190306,10,0.596,0.618,4,-11.342,0,0.0292,0.167,2.56e-6,0.0836,0.897,129.738,4,http://www.billboard.com/charts/hot-100/1986-06-07,6/7/1986,99,Innocent Eyes,Graham Nash,1,92,84,7,rock,1986-06-07,1986,6,british,7,84,1986,7,84,Graham Nash,Innocent Eyes
Crash And BurnThomas Rhett,Thomas Rhett,Crash And Burn,"['contemporary country', 'country', 'country road', 'modern country rock']",2Fk0WwAqTBesLtKg97nojy,NA,Tangled Up,FALSE,190733,64,0.693,0.789,5,-5.161,0,0.0315,0.0768,1.19e-6,0.178,0.795,130.025,4,http://www.billboard.com/charts/hot-100/2015-08-22,8/22/2015,41,Crash And Burn,Thomas Rhett,2,43,41,13,rock,2015-08-22,2015,8,country rock,13,41,2015,13,41,Thomas Rhett,Crash And Burn
When She CriesRestless Heart,Restless Heart,When She Cries,"['country', 'country rock']",61EQfJXizp4MIpLYWyLoQI,https://p.scdn.co/mp3-preview/ddc75be47decfb6afa28e3a667852f698514e7a8?cid=b8d3901151d34489a160e3cf0ab1fa94,Greatest Hits,FALSE,222186,57,0.666,0.521,9,-10.993,1,0.0292,0.114,0,0.0604,0.361,105.223,4,http://www.billboard.com/charts/hot-100/1993-03-27,3/27/1993,58,When She Cries,Restless Heart,1,56,11,20,rock,1993-03-27,1993,3,country rock,20,11,1993,20,11,Restless Heart,When She Cries
Make Me WannaThomas Rhett,Thomas Rhett,Make Me Wanna,"['contemporary country', 'country', 'country road', 'modern country rock']",69DR48pXzSabFUfQfDDJDb,NA,It Goes Like This,FALSE,225066,61,0.545,0.818,9,-6.38,1,0.0541,0.0369,0,0.101,0.679,109.019,3,http://www.billboard.com/charts/hot-100/2015-03-07,3/7/2015,45,Make Me Wanna,Thomas Rhett,1,43,43,15,rock,2015-03-07,2015,3,country rock,15,43,2015,15,43,Thomas Rhett,Make Me Wanna
Winds Of ChangeJefferson Starship,Jefferson Starship,Winds Of Change,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",5LHCFZ5WpuN4Isb8hwGzbU,https://p.scdn.co/mp3-preview/9e1df374038d3411ecfdce8b83a5539ddd3157d7?cid=b8d3901151d34489a160e3cf0ab1fa94,Winds Of Change,FALSE,232480,26,0.481,0.891,4,-4.093,0,0.0993,0.279,1.14e-5,0.171,0.56,128.097,4,http://www.billboard.com/charts/hot-100/1983-02-05,2/5/1983,59,Winds Of Change,Jefferson Starship,1,70,59,2,rock,1983-02-05,1983,2,hard,2,59,1983,2,59,Jefferson Starship,Winds Of Change
Like A StoneAudioslave,Audioslave,Like A Stone,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock']",3YuaBvuZqcwN3CEAyyoaei,https://p.scdn.co/mp3-preview/9fe309d18308f401d3124a322cdb8951a31adca7?cid=b8d3901151d34489a160e3cf0ab1fa94,Audioslave,FALSE,293960,77,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,4,http://www.billboard.com/charts/hot-100/2003-06-21,6/21/2003,35,Like A Stone,Audioslave,1,36,31,17,rock,2003-06-21,2003,6,metal,17,31,2003,17,31,Audioslave,Like A Stone
All This TimeSting,Sting,All This Time,"['permanent wave', 'soft rock']",2cu8WtQZdxGe3lbetlzeNe,NA,The Soul Cages,FALSE,294333,50,0.64,0.46,2,-13.05,1,0.0361,0.0875,1.59e-4,0.0543,0.416,127.126,4,http://www.billboard.com/charts/hot-100/1991-02-16,2/16/1991,18,All This Time,Sting,1,25,18,5,rock,1991-02-16,1991,2,permanent wave,5,18,1991,5,18,Sting,All This Time
Good DirectionsBilly Currington,Billy Currington,Good Directions,"['contemporary country', 'country', 'country road', 'modern country rock']",7GQjJEwqlp6m5HNWVQd6OR,NA,Doin' Somethin' Right,FALSE,215853,67,0.695,0.731,5,-2.15,1,0.034,0.318,0,0.143,0.497,122.522,4,http://www.billboard.com/charts/hot-100/2007-05-05,5/5/2007,54,Good Directions,Billy Currington,1,55,54,7,rock,2007-05-05,2007,5,country rock,7,54,2007,7,54,Billy Currington,Good Directions
Hey JudeThe Beatles,The Beatles,Hey Jude,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",0aym2LBJBk9DAYuHHutrIl,NA,1 (Remastered),FALSE,425653,78,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-5,0.088,0.532,147.207,4,http://www.billboard.com/charts/hot-100/1968-10-26,10/26/1968,1,Hey Jude,The Beatles,1,1,1,7,rock,1968-10-26,1968,10,british,7,1,1968,7,1,The Beatles,Hey Jude
Don't Break My HeartRomeo's Daughter,Romeo's Daughter,Don't Break My Heart,['melodic hard rock'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.billboard.com/charts/hot-100/1988-10-15,10/15/1988,94,Don't Break My Heart,Romeo's Daughter,1,NA,94,1,rock,1988-10-15,1988,10,hard,1,94,1988,1,94,Romeo's Daughter,Don't Break My Heart
Family ManDaryl Hall John Oates,Daryl Hall John Oates,Family Man,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",5KiDWqKsU0EfXQJdnWSOn9,https://p.scdn.co/mp3-preview/f742a80b7adb45b371cd5bed3d13cff5ff387a73?cid=b8d3901151d34489a160e3cf0ab1fa94,H20,FALSE,204813,47,0.766,0.651,2,-11.41,0,0.0349,0.467,8.26e-5,0.147,0.898,131.485,4,http://www.billboard.com/charts/hot-100/1983-06-25,6/25/1983,6,Family Man,Daryl Hall John Oates,1,10,6,9,rock,1983-06-25,1983,6,classic,9,6,1983,9,6,Daryl Hall John Oates,Family Man
Stay/The Load-OutJackson Browne,Jackson Browne,Stay/The Load-Out,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.billboard.com/charts/hot-100/1978-06-10,6/10/1978,73,Stay/The Load-Out,Jackson Browne,1,NA,73,1,rock,1978-06-10,1978,6,classic,1,73,1978,1,73,Jackson Browne,Stay/The Load-Out
Rock MeNick Gilder,Nick Gilder,Rock Me,['classic canadian rock'],3ZmpDiiDtP4GunYIGoOFY1,https://p.scdn.co/mp3-preview/dc29f5c3b8e6527a2dc5aa30699de4897724f5ed?cid=b8d3901151d34489a160e3cf0ab1fa94,Rock America,FALSE,169038,5,0.461,0.784,9,-6.322,1,0.0379,0.109,2.53e-6,0.24,0.606,91.428,4,http://www.billboard.com/charts/hot-100/1979-07-07,7/7/1979,59,Rock Me,Nick Gilder,1,66,59,4,rock,1979-07-07,1979,7,classic,4,59,1979,4,59,Nick Gilder,Rock Me
The Adventures Of Rain Dance MaggieRed Hot Chili Peppers,Red Hot Chili Peppers,The Adventures Of Rain Dance Maggie,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",0PgNhIg5n0UAOBVn43b8b6,https://p.scdn.co/mp3-preview/0e4f5d49100ac661581a36941abc3eab0237ba0d?cid=b8d3901151d34489a160e3cf0ab1fa94,I'm with You,FALSE,282400,68,0.683,0.734,4,-4.523,0,0.029,0.00112,0.0139,0.258,0.576,106.254,4,http://www.billboard.com/charts/hot-100/2011-08-13,8/13/2011,76,The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,1,38,38,2,rock,2011-08-13,2011,8,metal,2,38,2011,2,38,Red Hot Chili Peppers,The Adventures Of Rain Dance Maggie
KayleighMarillion,Marillion,Kayleigh,"['album rock', 'art rock', 'neo-progressive', 'progressive rock', 'soft rock', 'symphonic rock']",1Dsd1Nu06UbNmelEhPxKgB,https://p.scdn.co/mp3-preview/970be1cba993c810ea0acc130dd5f675e6afa0a6?cid=b8d3901151d34489a160e3cf0ab1fa94,A Singls Collction 1982-1992: Six Of On,FALSE,243413,59,0.562,0.671,2,-7.21,1,0.0269,0.0188,0.00378,0.0947,0.595,106.002,4,http://www.billboard.com/charts/hot-100/1985-10-12,10/12/1985,82,Kayleigh,Marillion,1,89,82,2,rock,1985-10-12,1985,10,soft rock,2,82,1985,2,82,Marillion,Kayleigh
BreakThree Days Grace,Three Days Grace,Break,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",4urxRqBRiaH0i20OKBsgxc,https://p.scdn.co/mp3-preview/7786eff13a3e12553df8c890145de98902365fef?cid=b8d3901151d34489a160e3cf0ab1fa94,Life Starts Now,FALSE,193106,64,0.578,0.897,0,-3.906,1,0.0357,6.66e-4,0,0.0924,0.737,115.491,4,http://www.billboard.com/charts/hot-100/2010-01-23,1/23/2010,90,Break,Three Days Grace,1,76,73,18,rock,2010-01-23,2010,1,metal,18,73,2010,18,73,Three Days Grace,Break
Take It To The LimitEagles,Eagles,Take It To The Limit,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",2cWHN0WK52RGAWHgaDamUA,https://p.scdn.co/mp3-preview/4a967da0de1ea40c9b27718264c33438b19fc018?cid=b8d3901151d34489a160e3cf0ab1fa94,One of These Nights (2013 Remaster),FALSE,287090,63,0.435,0.423,11,-8.795,1,0.024,0.0916,6.59e-4,0.132,0.451,91.137,3,http://www.billboard.com/charts/hot-100/1976-02-07,2/7/1976,19,Take It To The Limit,Eagles,1,24,19,8,rock,1976-02-07,1976,2,classic,8,19,1976,8,19,Eagles,Take It To The Limit
Baby Step BackGordon Lightfoot,Gordon Lightfoot,Baby Step Back,"['album rock', 'canadian country', 'canadian folk', 'canadian singer-songwriter', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",2TwsRVSBmRBqUJRBZJVkaz,https://p.scdn.co/mp3-preview/08fdcdea5d0b26a9c53dd7246386490184f82ff1?cid=b8d3901151d34489a160e3cf0ab1fa94,All Live,FALSE,228880,31,0.698,0.591,1,-9.331,0,0.0301,0.31,0.00192,0.707,0.873,109.979,4,http://www.billboard.com/charts/hot-100/1982-05-01,5/1/1982,53,Baby Step Back,Gordon Lightfoot,1,57,53,5,rock,1982-05-01,1982,5,classic,5,53,1982,5,53,Gordon Lightfoot,Baby Step Back
This Ain't A Love SongBon Jovi,Bon Jovi,This Ain't A Love Song,"['glam metal', 'rock']",0ZLBD6hHGN9LYOtNlu2n8e,NA,These Days,FALSE,306240,61,0.348,0.635,4,-6.836,1,0.0386,0.0932,0,0.126,0.144,87.974,3,http://www.billboard.com/charts/hot-100/1995-10-07,10/7/1995,71,This Ain't A Love Song,Bon Jovi,1,67,14,18,rock,1995-10-07,1995,10,metal,18,14,1995,18,14,Bon Jovi,This Ain't A Love Song
Annie FannyThe Kingsmen,The Kingsmen,Annie Fanny,['classic garage rock'],5PaWiOpagb2p6X8PbFBK1G,https://p.scdn.co/mp3-preview/59519d717d244159138a8d20df9e747bd52b20a4?cid=b8d3901151d34489a160e3cf0ab1fa94,Ya Ya,FALSE,123532,4,0.663,0.399,7,-17.304,1,0.0544,0.503,0,0.195,0.885,131.186,4,http://www.billboard.com/charts/hot-100/1965-09-25,9/25/1965,58,Annie Fanny,The Kingsmen,1,47,47,8,rock,1965-09-25,1965,9,classic,8,47,1965,8,47,The Kingsmen,Annie Fanny
The Spirit Of RadioRush,Rush,The Spirit Of Radio,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']",4e9hUiLsN4mx61ARosFi7p,NA,Permanent Waves,FALSE,296466,64,0.365,0.924,4,-7.066,1,0.0488,0.0144,2.54e-4,0.423,0.632,135.811,4,http://www.billboard.com/charts/hot-100/1980-03-15,3/15/1980,55,The Spirit Of Radio,Rush,1,62,55,4,rock,1980-03-15,1980,3,metal,4,55,1980,4,55,Rush,The Spirit Of Radio
Boys Night OutTimothy B. Schmit,Timothy B. Schmit,Boys Night Out,"['soft rock', 'yacht rock']",1lhNi9EEYs8HvBoBC9RZlf,NA,Timothy B,FALSE,276826,12,0.721,0.433,2,-14.363,0,0.0314,0.141,0,0.23,0.469,95.853,4,http://www.billboard.com/charts/hot-100/1987-11-07,11/7/1987,25,Boys Night Out,Timothy B. Schmit,1,31,25,8,rock,1987-11-07,1987,11,soft rock,8,25,1987,8,25,Timothy B. Schmit,Boys Night Out
My HometownBruce Springsteen,Bruce Springsteen,My Hometown,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",6dahFmHrgncgVJjsI1ws7e,https://p.scdn.co/mp3-preview/17fa95b1743a32cd50f3ac9760c4329b55861877?cid=b8d3901151d34489a160e3cf0ab1fa94,Born In The U.S.A.,FALSE,279666,59,0.652,0.338,9,-11.58,1,0.0367,0.486,5.9e-5,0.0744,0.392,116.881,4,http://www.billboard.com/charts/hot-100/1986-03-08,3/8/1986,75,My Hometown,Bruce Springsteen,1,55,6,14,rock,1986-03-08,1986,3,permanent wave,14,6,1986,14,6,Bruce Springsteen,My Hometown
"Hold Me, Thrill Me, Kiss Me, Kill Me (From ""Batman Forever"")U2",U2,"Hold Me, Thrill Me, Kiss Me, Kill Me (From ""Batman Forever"")","['irish rock', 'permanent wave', 'rock']",5TsHqbDKaSs4ECZX0045YS,NA,The Best Of 1990-2000,FALSE,284600,50,0.368,0.852,10,-6.978,0,0.0433,7.47e-5,0.258,0.218,0.347,171.692,4,http://www.billboard.com/charts/hot-100/1995-08-26,8/26/1995,32,"Hold Me, Thrill Me, Kiss Me, Kill Me (From ""Batman Forever"")",U2,1,30,16,10,rock,1995-08-26,1995,8,permanent wave,10,16,1995,10,16,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me (From ""Batman Forever"")"
Help The PoorB.B. King,B.B. King,Help The Poor,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",5qcrexsUJ4AYyxw7zn3YKi,NA,Live At The Regal,FALSE,158333,33,0.678,0.382,2,-10.316,1,0.0422,0.741,0,0.653,0.795,120.643,4,http://www.billboard.com/charts/hot-100/1971-06-12,6/12/1971,92,Help The Poor,B.B. King,2,NA,92,3,rock,1971-06-12,1971,6,blues,3,92,1971,3,92,B.B. King,Help The Poor
Love Ain'tEli Young Band,Eli Young Band,Love Ain't,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'texas country']",6uVzeU47Qzg0rrMneP5BNg,NA,Love Ain't,FALSE,186118,74,0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78e-6,0.0891,0.727,98.007,4,https://www.billboard.com/charts/hot-100/2019-08-17,8/17/2019,87,Love Ain't,Eli Young Band,1,91,50,17,rock,2019-08-17,2019,8,country rock,17,50,2019,17,50,Eli Young Band,Love Ain't
"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)Bee Gees",Bee Gees,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)","['adult standards', 'disco', 'mellow gold', 'soft rock']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.billboard.com/charts/hot-100/1967-07-01,7/1/1967,14,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)",Bee Gees,1,16,14,6,rock,1967-07-01,1967,7,soft rock,6,14,1967,6,14,Bee Gees,"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)"
If Heaven Wasn't So Far AwayJustin Moore,Justin Moore,If Heaven Wasn't So Far Away,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",0aW7CSfoMBKBzLE7VerHyn,NA,Outlaws Like Me,FALSE,223280,59,0.374,0.657,11,-6.086,1,0.0325,0.0434,0,0.219,0.376,74.234,4,http://www.billboard.com/charts/hot-100/2011-07-23,7/23/2011,49,If Heaven Wasn't So Far Away,Justin Moore,1,55,49,16,rock,2011-07-23,2011,7,country rock,16,49,2011,16,49,Justin Moore,If Heaven Wasn't So Far Away
Stand By MeMaurice White,Maurice White,Stand By Me,['deep soft rock'],78ed1StERMVBNocbSEQpCF,https://p.scdn.co/mp3-preview/dfd685e8a5008fcca71235081041e8428d85756d?cid=b8d3901151d34489a160e3cf0ab1fa94,Maurice White,FALSE,249640,25,0.77,0.77,11,-9.34,0,0.0313,0.0767,1.21e-5,0.266,0.961,118.268,4,http://www.billboard.com/charts/hot-100/1985-11-23,11/23/1985,91,Stand By Me,Maurice White,1,77,50,13,rock,1985-11-23,1985,11,soft rock,13,50,1985,13,50,Maurice White,Stand By Me
Pretzel LogicSteely Dan,Steely Dan,Pretzel Logic,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'yacht rock']",2TDqa2yNF9qhSmP8gqcleE,NA,Pretzel Logic,FALSE,270533,48,0.48,0.472,7,-11.715,1,0.0631,0.576,0.0102,0.218,0.647,144.142,3,http://www.billboard.com/charts/hot-100/1974-10-12,10/12/1974,89,Pretzel Logic,Steely Dan,1,NA,89,1,rock,1974-10-12,1974,10,blues,1,89,1974,1,89,Steely Dan,Pretzel Logic
I Don't Want To Miss A ThingMark Chesnutt,Mark Chesnutt,I Don't Want To Miss A Thing,"['country', 'country road', 'country rock']",3FN7JMZaaQ9lSzIaan0YZ1,NA,I Don't Want To Miss A Thing,FALSE,246226,41,0.493,0.49,10,-10.316,1,0.0345,0.0329,0,0.245,0.159,122.087,4,http://www.billboard.com/charts/hot-100/1999-01-09,1/9/1999,20,I Don't Want To Miss A Thing,Mark Chesnutt,1,19,19,4,rock,1999-01-09,1999,1,country rock,4,19,1999,4,19,Mark Chesnutt,I Don't Want To Miss A Thing
Where The Streets Have No NameU2,U2,Where The Streets Have No Name,"['irish rock', 'permanent wave', 'rock']",4qgZs0RNjdzKAS22lP0QjY,NA,The Joshua Tree (Super Deluxe),FALSE,337505,67,0.495,0.728,2,-9.549,1,0.0385,0.011,0.00353,0.151,0.218,125.81,4,http://www.billboard.com/charts/hot-100/1987-12-12,12/12/1987,98,Where The Streets Have No Name,U2,1,73,13,14,rock,1987-12-12,1987,12,permanent wave,14,13,1987,14,13,U2,Where The Streets Have No Name
Oh LoveGreen Day,Green Day,Oh Love,"['modern rock', 'permanent wave', 'punk']",1qIgyDoc2rwtq8w49jeWL8,https://p.scdn.co/mp3-preview/2f16da30499965e58801ad4a727d87c0cdaa5e49?cid=b8d3901151d34489a160e3cf0ab1fa94,¡UNO!,FALSE,303293,58,0.427,0.773,8,-4.222,1,0.115,0.00605,4.02e-6,0.0396,0.695,171.806,4,http://www.billboard.com/charts/hot-100/2012-08-25,8/25/2012,100,Oh Love,Green Day,1,NA,100,1,rock,2012-08-25,2012,8,permanent wave,1,100,2012,1,100,Green Day,Oh Love
