SongID,Performer.x,Song.x,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,url,WeekID,Week.Position,Song.y,Performer.y,Instance,Previous.Week.Position,Peak.Position,Weeks.on.Chart,genrez,date2,year,month,rock_genrez,weeks_chart,position_peak,year2,weeks_chart2,position_peak2,performer,song
Still The SameBob Seger & The Silver Bullet Band,Bob Seger & The Silver Bullet Band,Still The Same,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",1Ryxsiacu8pUXIMCVnIQ8J,NA,Stranger In Town,FALSE,203546,65,0.709,0.767,0,-6.732,1,0.0283,0.405,1.72e-4,0.0592,0.557,115.64,4,http://www.billboard.com/charts/hot-100/1978-07-22,7/22/1978,4,Still The Same,Bob Seger & The Silver Bullet Band,1,5,4,11,rock,1978-07-22,1978,7,hard,11,4,1978,11,4,Bob Seger & The Silver Bullet Band,Still The Same
Let's DanceDavid Bowie,David Bowie,Let's Dance,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'protopunk', 'rock']",3ix6K4wZY29bCujrSznwFZ,https://p.scdn.co/mp3-preview/1d3275edcfb6ebd3b0c25c8cf2d5c83da74fd43a?cid=b8d3901151d34489a160e3cf0ab1fa94,Let's Dance (2018 Remaster),FALSE,457675,71,0.654,0.743,10,-7.44,0,0.0605,0.0125,0.0272,0.153,0.632,114.846,4,http://www.billboard.com/charts/hot-100/1983-07-09,7/9/1983,31,Let's Dance,David Bowie,1,15,1,16,rock,1983-07-09,1983,7,classic,16,1,1983,16,1,David Bowie,Let's Dance
Stranger In TownToto,Toto,Stranger In Town,"['album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",4wcrWfOjVNYoznqCKfu9d1,https://p.scdn.co/mp3-preview/c7d3c1c0459c123866b0e76b4126c43f2b397f7d?cid=b8d3901151d34489a160e3cf0ab1fa94,Isolation,FALSE,287066,46,0.599,0.667,2,-16.013,0,0.0329,0.0957,0.479,0.101,0.762,154.915,4,http://www.billboard.com/charts/hot-100/1984-11-03,11/3/1984,50,Stranger In Town,Toto,1,70,50,2,rock,1984-11-03,1984,11,soft rock,2,50,1984,2,50,Toto,Stranger In Town
Let's Put The X In SexKISS,KISS,Let's Put The X In Sex,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']",1wVslVHkU5N8b8JIzFbpb0,NA,Smashes Thrashes & Hits,FALSE,230620,33,0.771,0.671,0,-9.831,1,0.0294,0.0982,1.3e-5,0.209,0.84,111.082,4,http://www.billboard.com/charts/hot-100/1989-01-21,1/21/1989,99,Let's Put The X In Sex,KISS,1,97,97,2,rock,1989-01-21,1989,1,metal,2,97,1989,2,97,KISS,Let's Put The X In Sex
(oh) Pretty WomanVan Halen,Van Halen,(oh) Pretty Woman,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",7ptv3yXdBWwzO7rVA62rwy,https://p.scdn.co/mp3-preview/78c1f5158bda46e54c979f1d0aadd177f9ee6189?cid=b8d3901151d34489a160e3cf0ab1fa94,Diver Down (Remastered),FALSE,172670,53,0.441,0.97,1,-2.1,0,0.0708,0.192,1.68e-6,0.312,0.5,128.289,4,http://www.billboard.com/charts/hot-100/1982-04-10,4/10/1982,14,(oh) Pretty Woman,Van Halen,1,15,14,10,rock,1982-04-10,1982,4,metal,10,14,1982,10,14,Van Halen,(oh) Pretty Woman
BonfireCraig Morgan,Craig Morgan,Bonfire,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",4PyKicaf5RL5tlidl6ZMO5,https://p.scdn.co/mp3-preview/09e73552a5e5058845d5ffdb0c0c5e9bb274583e?cid=b8d3901151d34489a160e3cf0ab1fa94,That's Why,FALSE,179706,49,0.426,0.917,0,-2.968,1,0.103,0.119,0,0.153,0.506,175.716,4,http://www.billboard.com/charts/hot-100/2010-01-02,1/2/2010,76,Bonfire,Craig Morgan,1,65,57,13,rock,2010-01-02,2010,1,country rock,13,57,2010,13,57,Craig Morgan,Bonfire
(She's A) Very Lovely Woman/The Long Way AroundLinda Ronstadt,Linda Ronstadt,(She's A) Very Lovely Woman/The Long Way Around,"['adult standards', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'singer-songwriter', 'soft rock']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.billboard.com/charts/hot-100/1971-02-20,2/20/1971,75,(She's A) Very Lovely Woman/The Long Way Around,Linda Ronstadt,1,70,70,5,rock,1971-02-20,1971,2,country rock,5,70,1971,5,70,Linda Ronstadt,(She's A) Very Lovely Woman/The Long Way Around
YesterdayThe Beatles,The Beatles,Yesterday,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",3BQHpFgAp4l80e1XslIjNI,NA,Help! (Remastered),FALSE,125666,79,0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.529,4,http://www.billboard.com/charts/hot-100/1965-12-04,12/4/1965,45,Yesterday,The Beatles,1,26,1,11,rock,1965-12-04,1965,12,british,11,1,1965,11,1,The Beatles,Yesterday
"Baby, What A Big SurpriseChicago",Chicago,"Baby, What A Big Surprise","['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",11dAtktxQQzipxuLqljEfY,https://p.scdn.co/mp3-preview/e3796d776e6255d08859a914258bb03b26d14f80?cid=b8d3901151d34489a160e3cf0ab1fa94,Chicago XI,FALSE,183666,45,0.42,0.451,5,-4.351,1,0.0289,0.053,2.32e-6,0.137,0.396,74.353,4,http://www.billboard.com/charts/hot-100/1977-11-26,11/26/1977,5,"Baby, What A Big Surprise",Chicago,1,5,5,10,rock,1977-11-26,1977,11,classic,10,5,1977,10,5,Chicago,"Baby, What A Big Surprise"
For You I WillAaron Tippin,Aaron Tippin,For You I Will,"['country', 'country road', 'country rock', 'redneck']",0A9UuGGkuYnRy9JqMBSAWb,NA,What This Country Needs,FALSE,211733,30,0.625,0.601,1,-7.092,1,0.0291,0.186,0.00533,0.249,0.257,107.724,4,http://www.billboard.com/charts/hot-100/1998-11-14,11/14/1998,82,For You I Will,Aaron Tippin,1,79,74,6,rock,1998-11-14,1998,11,country rock,6,74,1998,6,74,Aaron Tippin,For You I Will
